% ARFF file generated by CSV to ARFF converter
% Generated on 2025-11-08T17:47:49.003Z
% Number of instances: 649
% Number of attributes: 33

@RELATION my_relation

@ATTRIBUTE Escola {"GP","MS"}
@ATTRIBUTE Sexo {"F","M"}
@ATTRIBUTE Idade {"Adulto","Adolescente"}
@ATTRIBUTE Endere_o {"U","R"}
@ATTRIBUTE tamanho_fam_lia {"GT3","LE3"}
@ATTRIBUTE Pais_juntos_ou_separados_ {"A","T"}
@ATTRIBUTE Escolaridade_m_e_ {"Ensino Superior","Educação Primária (4ª série)","Ensino Secundário","5ª a 9ª série","Nenhuma"}
@ATTRIBUTE Escolaridade_pai_ {"Ensino Superior","Educação Primária (4ª série)","5ª a 9ª série","Ensino Secundário","Nenhuma"}
@ATTRIBUTE Profiss_o_m_e_ {"at_home","health","other","services","teacher"}
@ATTRIBUTE Profiss_o_pai_ {"teacher","other","services","health","at_home"}
@ATTRIBUTE Motivo_da_escolha_da_escola {"course","other","home","reputation"}
@ATTRIBUTE Mora_com_quem_ {"mother","father","other"}
@ATTRIBUTE Deslocamento {"15 a 30 min","Menos de 15 min","30 min a 1 hora",">1 hora"}
@ATTRIBUTE Tempo_de_estudo {"2 a 5 horas","5 a 10 horas","Menos de 2 horas",">10 horas"}
@ATTRIBUTE Reprova__es {"Sem reprovações","3 reprovações","1 reprovação","2 reprovações"}
@ATTRIBUTE Suporte_escolar {"yes","no"}
@ATTRIBUTE Suporte_familiar_ {"no","yes"}
@ATTRIBUTE Refor_o_ {"no","yes"}
@ATTRIBUTE atividades_extracurricular_ {"no","yes"}
@ATTRIBUTE frequentou_creche_ {"yes","no"}
@ATTRIBUTE quer_gradua__o_ {"yes","no"}
@ATTRIBUTE Acessa_net_em_casa_ {"no","yes"}
@ATTRIBUTE Namora_ {"no","yes"}
@ATTRIBUTE Relacionamento_com_a_fam_lia {"Bom","Mediano","Ruim"}
@ATTRIBUTE Tem_tempo_livre_ {"Tempo livre moderado","Pouco tempo livre","Muito tempo livre"}
@ATTRIBUTE Sai_com_os_amigos_ {"Sai com frequência","Sai moderadamente","Sai pouco com amigos"}
@ATTRIBUTE Consumo_de_alcool_na_semana {"Baixo consumo","Alto consumo","Consumo moderado"}
@ATTRIBUTE Consumo_de_alccol_no_fim_de_semana {"Baixo consumo","Consumo moderado","Alto consumo"}
@ATTRIBUTE Sa_de_regular {"Saúde regular","Boa saúde","Saúde ruim"}
@ATTRIBUTE Faltas {"Média","Baixa","Alta"}
@ATTRIBUTE Nota1 {"Deficiente","Insuficiente","Bom","Excelente"}
@ATTRIBUTE Nota2 {"Insuficiente","Bom","Deficiente","Excelente"}
@ATTRIBUTE Nota_Final {"Insuficiente","Bom","Deficiente","Excelente"}

@DATA
"GP","F","Adulto","U","GT3","A","Ensino Superior","Ensino Superior","at_home","teacher","course","mother","15 a 30 min","2 a 5 horas","Sem reprovações","yes","no","no","no","yes","yes","no","no","Bom","Tempo livre moderado","Sai com frequência","Baixo consumo","Baixo consumo","Saúde regular","Média","Deficiente","Insuficiente","Insuficiente"
"GP","F","Adolescente","U","GT3","T","Educação Primária (4ª série)","Educação Primária (4ª série)","at_home","other","course","father","Menos de 15 min","2 a 5 horas","Sem reprovações","no","yes","no","no","no","yes","yes","no","Bom","Tempo livre moderado","Sai moderadamente","Baixo consumo","Baixo consumo","Saúde regular","Baixa","Deficiente","Insuficiente","Insuficiente"
"GP","F","Adolescente","U","LE3","T","Educação Primária (4ª série)","Educação Primária (4ª série)","at_home","other","other","mother","Menos de 15 min","2 a 5 horas","Sem reprovações","yes","no","no","no","yes","yes","yes","no","Bom","Tempo livre moderado","Sai pouco com amigos","Baixo consumo","Consumo moderado","Saúde regular","Média","Insuficiente","Insuficiente","Insuficiente"
"GP","F","Adolescente","U","GT3","T","Ensino Superior","5ª a 9ª série","health","services","home","mother","Menos de 15 min","5 a 10 horas","Sem reprovações","no","yes","no","yes","yes","yes","yes","yes","Mediano","Pouco tempo livre","Sai pouco com amigos","Baixo consumo","Baixo consumo","Boa saúde","Baixa","Bom","Bom","Bom"
"GP","F","Adolescente","U","GT3","T","Ensino Secundário","Ensino Secundário","other","other","home","father","Menos de 15 min","2 a 5 horas","Sem reprovações","no","yes","no","no","yes","yes","no","no","Bom","Tempo livre moderado","Sai pouco com amigos","Baixo consumo","Baixo consumo","Boa saúde","Baixa","Insuficiente","Insuficiente","Insuficiente"
"GP","M","Adolescente","U","LE3","T","Ensino Superior","Ensino Secundário","services","other","reputation","mother","Menos de 15 min","2 a 5 horas","Sem reprovações","no","yes","no","yes","yes","yes","yes","no","Bom","Muito tempo livre","Sai pouco com amigos","Baixo consumo","Baixo consumo","Boa saúde","Média","Insuficiente","Insuficiente","Insuficiente"
"GP","M","Adolescente","U","LE3","T","5ª a 9ª série","5ª a 9ª série","other","other","home","mother","Menos de 15 min","2 a 5 horas","Sem reprovações","no","no","no","no","yes","yes","yes","no","Bom","Muito tempo livre","Sai com frequência","Baixo consumo","Baixo consumo","Saúde regular","Baixa","Insuficiente","Insuficiente","Insuficiente"
"GP","F","Adolescente","U","GT3","A","Ensino Superior","Ensino Superior","other","teacher","home","mother","15 a 30 min","2 a 5 horas","Sem reprovações","yes","yes","no","no","yes","yes","no","no","Bom","Pouco tempo livre","Sai com frequência","Baixo consumo","Baixo consumo","Saúde ruim","Baixa","Insuficiente","Insuficiente","Insuficiente"
"GP","M","Adolescente","U","LE3","A","Ensino Secundário","5ª a 9ª série","services","other","home","mother","Menos de 15 min","2 a 5 horas","Sem reprovações","no","yes","no","no","yes","yes","yes","no","Bom","Pouco tempo livre","Sai pouco com amigos","Baixo consumo","Baixo consumo","Saúde ruim","Baixa","Bom","Bom","Bom"
"GP","M","Adolescente","U","GT3","T","Ensino Secundário","Ensino Superior","other","other","home","mother","Menos de 15 min","2 a 5 horas","Sem reprovações","no","yes","no","yes","yes","yes","yes","no","Bom","Muito tempo livre","Sai pouco com amigos","Baixo consumo","Baixo consumo","Boa saúde","Baixa","Insuficiente","Insuficiente","Insuficiente"
